     2.388     2.559     4.424     6.486     0.277     0.145     0.855     2.000
    -0.189     2.638     2.888     5.843    -1.310     0.272     0.728     2.000
     4.615     6.357     6.689    10.129     0.260     0.002     0.998     2.000
     4.235     6.936     6.402     6.472     0.165     0.007     0.993     2.000
     0.228     1.201     2.760     3.288    -3.054     0.307     0.693     2.000
     3.581     4.688     6.524     8.951     0.255     0.009     0.991     2.000
     3.862     5.409     4.318     6.197    -0.070     0.031     0.969     2.000
     1.849     2.806     2.410     4.475    -0.870     0.292     0.708     2.000
     1.516     2.540     2.835     4.037    -0.991     0.314     0.686     2.000
     3.607     4.724     3.825     4.197    -0.509     0.075     0.925     2.000
     1.996     0.951     0.775     1.426    -1.800     0.695     0.305     1.000
     1.276    -1.396    -2.403    -2.370    -0.101     0.996     0.004     1.000
     0.168     0.878     1.233     0.920     0.854     0.957     0.043     1.000
     0.270     1.374     1.963     1.070     0.667     0.919     0.081     1.000
     4.117     3.556     5.892     6.190     0.289     0.036     0.964     2.000
     2.353     2.826     6.394     7.614     0.909     0.066     0.934     2.000
     3.640     4.633     7.111     8.761    -0.723     0.004     0.996     2.000
     1.508     3.739     4.553     7.555     0.226     0.091     0.909     2.000
     2.358     3.262     4.466     6.023    -0.608     0.081     0.919     2.000
    -1.706     0.594     2.560     3.515     0.519     0.910     0.090     1.000
     4.677     3.574     5.742     6.101    -0.914     0.016     0.984     2.000
     1.632     3.182     4.476     5.506    -0.892     0.104     0.896     2.000
     1.860     4.598     4.742     6.158    -0.441     0.057     0.943     2.000
     2.705     5.199     5.852     7.047    -0.188     0.019     0.981     2.000
     1.337     1.833     0.995     0.755    -0.057     0.873     0.127     1.000
     0.405     1.378     0.767     0.863    -0.634     0.895     0.105     1.000
    -0.120     2.328     4.671     8.202    -0.601     0.124     0.876     2.000
     3.450     4.258     6.117     7.643     0.252     0.020     0.980     2.000
     0.163     1.556     1.192     2.899    -0.448     0.812     0.188     1.000
    -1.095    -0.656    -2.183    -1.045    -0.674     0.995     0.005     1.000
     1.573     2.891     1.648     1.882    -1.013     0.559     0.441     1.000
     0.994     2.050     2.900     3.515     0.974     0.718     0.282     1.000
     0.146     0.340     1.585     3.913    -0.400     0.811     0.189     1.000
     1.510     4.899     7.795     6.984    -0.948     0.010     0.990     2.000
     1.613     1.032     2.661     4.686     0.752     0.663     0.337     1.000
     4.264     4.542     4.865     4.195    -0.079     0.054     0.946     2.000
     0.248     1.356     2.451     5.169     0.137     0.649     0.351     1.000
     3.185     4.721     4.487     7.055     0.101     0.040     0.960     2.000
     2.922     2.343     4.192     5.506     1.209     0.287     0.713     2.000
     1.403    -0.454     0.179    -0.929    -1.163     0.950     0.050     1.000
    -1.238    -0.921     0.370     0.020    -1.479     0.971     0.029     1.000
     3.100     4.420     4.269     6.663    -0.287     0.045     0.955     2.000
    -0.279    -0.174     0.477     1.923    -0.674     0.939     0.061     1.000
     1.919     4.090     3.962     5.030     2.146     0.410     0.590     2.000
     1.414     0.296     0.220     1.708     0.818     0.954     0.046     1.000
     4.029     5.486     4.874     3.946    -0.228     0.041     0.959     2.000
     0.953     2.496     4.230     6.748     1.433     0.374     0.626     2.000
     1.652     2.710     2.468     1.366     0.015     0.673     0.327     1.000
     1.489     1.842     2.082     2.932    -0.242     0.648     0.352     1.000
     3.319     3.566     5.138     4.308    -0.820     0.059     0.941     2.000
    -0.633    -0.016     1.094     2.151     0.211     0.953     0.047     1.000
     2.244     4.538     4.500     7.631     0.518     0.063     0.937     2.000
     2.942     4.466     4.444     4.464    -0.469     0.076     0.924     2.000
     0.301     0.999     0.681     1.337     1.777     0.976     0.024     1.000
     0.817     2.583     2.718     2.919    -0.821     0.492     0.508     2.000
     0.198     2.392     3.473     2.934     0.160     0.632     0.368     1.000
     1.603     0.062     0.017     0.200    -1.587     0.894     0.106     1.000
    -0.857    -1.948    -0.669     1.423    -2.064     0.967     0.033     1.000
     4.192     5.244     7.425     6.800     0.604     0.010     0.990     2.000
     1.887     1.912     2.985     5.823    -0.656     0.249     0.751     2.000
    -0.300     0.126     1.559     1.350     0.273     0.949     0.051     1.000
     0.636     4.035     3.902     5.478    -0.241     0.190     0.810     2.000
     4.663     5.415     5.180     6.042    -0.941     0.010     0.990     2.000
    -0.108     0.822     1.798     3.014     0.532     0.894     0.106     1.000
     1.130     1.806     1.918     1.145     1.962     0.939     0.061     1.000
     2.017     4.815     4.890     5.949     0.360     0.080     0.920     2.000
     1.279     3.946     5.572     7.645     1.413     0.116     0.884     2.000
     1.686     7.165     8.035     8.931     2.501     0.016     0.984     2.000
    -2.589    -0.120     0.416    -0.056    -1.360     0.978     0.022     1.000
     2.434     2.293     3.830     4.390    -0.355     0.238     0.762     2.000
     0.095     2.850     2.572     3.920     0.885     0.715     0.285     1.000
     1.315     2.516     2.925     3.637     0.030     0.504     0.496     1.000
